dx,dy,target_x,target_y
-244,90,1036,810
-222,80,1058,800
1103,101,2383,821
454,129,1734,849
160,93,1440,813
-72,-102,1208,618
37,110,1317,830
-20,-55,1260,665
9,20,1289,740
-5,-19,1275,701
6,21,1286,741
359,206,1639,926
16,68,1296,788
-6,-37,1274,683
5,16,1285,736
810,144,2090,864
512,88,1792,808
313,-58,1593,662
47,7,1327,727
-22,-37,1258,683
8,45,1288,765
308,315,1588,1035
36,226,1316,946
-19,-117,1261,603
10,66,1290,786
325,223,1605,943
-87,-3,1193,717
84,8,1364,728
-83,-20,1197,700
1049,173,2329,893
-322,271,958,991
1176,34,2456,754
666,-59,1946,661
291,38,1571,758
-59,-46,1221,674
62,39,1342,759
-60,-43,1220,677
59,45,1339,765
-61,-46,1219,674
63,52,1343,772
1203,384,2483,1104
1255,291,2535,1011
1001,93,2281,813
150,80,1430,800
-58,-47,1222,673
15,45,1295,765
0,-43,1280,677
-47,120,1233,840
19,-67,1299,653
-3,23,1277,743
-1,-3,1279,717
75,446,1355,1166
-44,149,1236,869
22,-82,1302,638
-3,44,1277,764
1,-25,1281,695
0,4,1280,724
1,-1,1281,719
0,0,1280,720
331,360,1611,1080
0,189,1280,909
5,-80,1285,640
-2,36,1278,756
1,-14,1281,706
1,0,1281,720
386,194,1666,914
180,78,1460,798
-85,-55,1195,665
39,36,1319,756
-15,-25,1265,695
3,6,1283,726
-861,222,419,942
-449,77,831,797
-138,-73,1142,647
65,54,1345,774
-40,-39,1240,681
16,23,1296,743
3,-8,1283,712
1,0,1281,720
432,449,1712,1169
132,408,1412,1128
-69,405,1211,1125
559,-58,1839,662
68,-184,1348,536
-30,110,1250,830
14,-66,1294,654
-5,34,1275,754
1,-9,1281,711
2,0,1282,720
389,293,1669,1013
177,226,1457,946
-85,70,1195,790
37,-37,1317,683
-15,13,1265,733
7,-3,1287,717
138,188,1418,908
145,388,1425,1108
-39,376,1241,1096
-16,-16,1264,704
5,0,1285,720
1,2,1281,722
-3,5,1277,725
132,383,1412,1103
-49,383,1231,1103
2,181,1282,901
0,-113,1280,607
3,64,1283,784
1,-26,1281,694
-3,11,1277,731
326,80,1606,800
27,-57,1307,663
-4,27,1276,747
575,154,1855,874
255,83,1535,803
66,-57,1346,663
-32,27,1248,747
13,-3,1293,717
-1157,216,123,936
-843,84,437,804
-481,-66,799,654
-120,-9,1160,711
61,18,1341,738
-28,-11,1252,709
11,-3,1291,717
-3,6,1277,726
-3,-1,1277,719
403,501,1683,1221
138,417,1418,1137
-48,365,1232,1085
6,-6,1286,714
-4,5,1276,725
-4,1,1276,721
7,-5,1287,715
-5,3,1275,723
98,409,1378,1129
-53,148,1227,868
18,-70,1298,650
0,35,1280,755
-1,-9,1279,711
-4,2,1276,722
-328,314,952,1034
-1009,201,271,921
-223,13,1057,733
177,124,1457,844
-182,-137,1098,583
190,-112,1470,608
-184,107,1096,827
178,-100,1458,620
-169,95,1111,815
-333,316,947,1036
-331,289,949,1009
876,275,2156,995
278,224,1558,944
-33,-1,1247,719
30,2,1310,722
-33,0,1247,720
248,434,1528,1154
45,367,1325,1087
-21,-6,1259,714
8,-4,1288,716
-6,-6,1274,714
5,0,1285,720
-7,7,1273,727
7,-1,1287,719
-6,-1,1274,719
7,-6,1287,714
-7,3,1273,723
4,1,1284,721
336,259,1616,979
18,238,1298,958
-12,-127,1268,593
9,63,1289,783
-4,-33,1276,687
0,10,1280,730
-5,-3,1275,717
203,126,1483,846
-94,-91,1186,629
40,65,1320,785
-15,-46,1265,674
5,13,1285,733
-6,0,1274,720
363,225,1643,945
-4,61,1276,781
7,-42,1287,678
-4,11,1276,731
3,-2,1283,718
-5,7,1275,727
5,-3,1285,717
-7,-4,1273,716
7,0,1287,720
-6,2,1274,722
4,1,1284,721
507,282,1787,1002
93,210,1373,930
-43,-131,1237,589
19,78,1299,798
-5,-38,1275,682
1,9,1281,729
-5,-3,1275,717
284,382,1564,1102
42,386,1322,1106
-19,167,1261,887
3,-99,1283,621
-6,59,1274,779
11,-27,1291,693
-9,7,1271,727
5,-2,1285,718
572,110,1852,830
259,-89,1539,631
50,31,1330,751
-18,-19,1262,701
5,1,1285,721
-7,0,1273,720
-763,167,517,887
-539,104,741,824
-293,-209,987,511
-33,53,1247,773
16,-33,1296,687
-7,7,1273,727
2,1,1282,721
-974,102,306,822
-516,-107,764,613
-55,20,1225,740
40,-10,1320,710
-26,9,1254,729
-1232,36,48,756
-727,-44,553,676
311,643,1591,1363
-648,2,632,722
-383,-26,897,694
-141,26,1139,746
103,-12,1383,708
-75,-2,1205,718
50,0,1330,720
-38,1,1242,721
27,3,1307,723
-15,-1,1265,719
9,-7,1289,713
-3,4,1277,724
-4,-1,1276,719
-116,128,1164,848
